idx,address,contract_name,compiler_version,total_nonempty_lines,contains_risk_keyword,input_file,original_source_dir,optimization_used,runs,license_type,proxy,implementation,etherscan_contract_name
16,0x6898B3025f035f486a05BF496Cd4dFDD65F60eA6,Contract,v0.8.23+commit.f704f362,344,True,recent_preprocessed_risk_only/contracts/0016_0x6898B3025f035f486a05BF496Cd4dFDD65F60eA6_Contract.sol,recent_etherscan_300/sources/0x6898B3025f035f486a05BF496Cd4dFDD65F60eA6_Contract,1,200,MIT,0,,Contract
17,0x2bab7251663480559af05a920a616a0c96280fa6,RequestManager,v0.8.23+commit.f704f362,1300,True,recent_preprocessed_risk_only/contracts/0017_0x2bab7251663480559af05a920a616a0c96280fa6_RequestManager.sol,recent_etherscan_300/sources/0x2bab7251663480559af05a920a616a0c96280fa6_RequestManager,1,1,,0,,RequestManager
18,0x180cdef7a328ddfa9013b6f2ce285287ecd57af4,FeeManager,v0.8.23+commit.f704f362,1180,True,recent_preprocessed_risk_only/contracts/0018_0x180cdef7a328ddfa9013b6f2ce285287ecd57af4_FeeManager.sol,recent_etherscan_300/sources/0x180cdef7a328ddfa9013b6f2ce285287ecd57af4_FeeManager,1,1,,0,,FeeManager
19,0x4fb794321956C2ae29823774a0E645179ba4b338,CollateralTokenization,v0.8.20+commit.a1b79de6,639,True,recent_preprocessed_risk_only/contracts/0019_0x4fb794321956C2ae29823774a0E645179ba4b338_CollateralTokenization.sol,recent_etherscan_300/sources/0x4fb794321956C2ae29823774a0E645179ba4b338_CollateralTokenization,0,200,MIT,0,,CollateralTokenization
20,0x6c4c9b5cbba100b648b03eb41d2eb64d09ea87fe,SwapThenBridgeRouterV2_1,v0.8.30+commit.73712a01,674,True,recent_preprocessed_risk_only/contracts/0020_0x6c4c9b5cbba100b648b03eb41d2eb64d09ea87fe_SwapThenBridgeRouterV2_1.sol,recent_etherscan_300/sources/0x6c4c9b5cbba100b648b03eb41d2eb64d09ea87fe_SwapThenBridgeRouterV2_1,1,1000000,,0,,SwapThenBridgeRouterV2_1
21,0x191ac16255f49F7C6cB2e3b2502064A805943849,SyrupRouter,v0.8.7+commit.e28d00a7,374,True,recent_preprocessed_risk_only/contracts/0021_0x191ac16255f49F7C6cB2e3b2502064A805943849_SyrupRouter.sol,recent_etherscan_300/sources/0x191ac16255f49F7C6cB2e3b2502064A805943849_SyrupRouter,1,200,BSL 1.1,0,,SyrupRouter
22,0x95F6e712bBDC71b0517AB17C081717626B9fa2B3,microPEG,v0.8.30+commit.73712a01,2303,True,recent_preprocessed_risk_only/contracts/0022_0x95F6e712bBDC71b0517AB17C081717626B9fa2B3_microPEG.sol,recent_etherscan_300/sources/0x95F6e712bBDC71b0517AB17C081717626B9fa2B3_microPEG,1,200,,0,,microPEG
23,0xB25531D4A44153d267e1030eFe8a38573CfDE2C3,FinalAtomicVault,v0.8.20+commit.a1b79de6,651,True,recent_preprocessed_risk_only/contracts/0023_0xB25531D4A44153d267e1030eFe8a38573CfDE2C3_FinalAtomicVault.sol,recent_etherscan_300/sources/0xB25531D4A44153d267e1030eFe8a38573CfDE2C3_FinalAtomicVault,0,200,,0,,FinalAtomicVault
24,0xB57F02f5f1B09eFd20567d51ef996DBb491fDDec,DaemonToken,v0.8.34+commit.80d5c536,172,True,recent_preprocessed_risk_only/contracts/0024_0xB57F02f5f1B09eFd20567d51ef996DBb491fDDec_DaemonToken.sol,recent_etherscan_300/sources/0xB57F02f5f1B09eFd20567d51ef996DBb491fDDec_DaemonToken,1,200,,0,,DaemonToken
25,0x4c29326350714d67e2c37d6809bd1d261f4f51e3,ConcreteStandardVaultImpl,v0.8.27+commit.40a35a09,8861,True,recent_preprocessed_risk_only/contracts/0025_0x4c29326350714d67e2c37d6809bd1d261f4f51e3_ConcreteStandardVaultImpl.sol,recent_etherscan_300/sources/0x4c29326350714d67e2c37d6809bd1d261f4f51e3_ConcreteStandardVaultImpl,1,190,,0,,ConcreteStandardVaultImpl
